MBE013,,N7433.4.P13 B72 2017,The book on the chair,Book,"Page, Mathi.","Miniature Book Society, former owner. InU",Nagoya : Mathi Page; Masako Ishiguro,2017,7 pages ; 45 x 45 mm in container 80 x 45 mm,"""The entry consists of two parts : a simple wooden chair, and a book. The book contains several pop-ups. When the book is placed on the chair, it opens up to create different styles of armchair, each with an appropriate book lying open upon it.""--Mini Book Society 2018 Exhibition Catalog",Artists' books--Specimens. Miniature books--Specimens. Toy and movable books--Specimens.
MBE014,,N7433.4.P31 I59 2017,Insect dreams in color,Book,"Patterson-Marx, Lesley, 1975-","Miniature Book Society, former owner. InU","[Nashville, TN] : Leslie Patterson-Marx",2017,1 volume (unpaged) : color illustrations ; 36 x 45 mm,"In the shape of a television; the piece is made from wood, matboard, archival inkjet print, laser print, and wire.",Insects. Toy and movable books--Specimens. Artists' books--Specimens. Miniature books--Specimens.
MBE015,,GV1218.T77 F45,Die fidele Drehscheibe. no. 194,Image,,"Adomeit, Ruth E., former owner.",[Germany : s.n.],[18--?],6 envelope leaves : col. ; c 87 mm.,Nineteenth century German miniature transformation booklet with revolving discs mounted in color illustrated envelope leaves so that various faces are changeable in the illustrations with cut out faces.,Toy and movable books--Specimens. Miniature books--Specimens.
MBE016,,Z1033.M6 M681 no.217,World cup,Book,"Leslie, Ken.",Miniature Book Society InU,"Hardwick, VT : Charuby Press.",1998,1 v. : chiefly col. ill. ; 75 mm.,"""Empty the envelope contents of this hand cut and folded miniature artist book. Place the closed envelope unviverse-side up as your table, then the earth as saucer and finally open the landscape cup ...""--printed explanation sheet.",Miniature books--Specimens. Toy and movable books--Specimens.
MBE017,,TP310 .M41,Do you have a match?,Book,"Massmann, Robert E., -2013","Adomeit, Ruth E. former owner Art Press.","New Britain, Conn. : REM Miniatures.",1988,[20] p. ; 25 mm.,"Bound in limp maroon leatherette, printed white paper label on upper cover; laid in stapled red wrappers shaped like a book of matches (46 x 35 mm.) within two rows of variously colored (and some printed) real matches; placed in a white and green cardboard box shaped like a matchbox with printed white paper label on its side and real matches at its bottom.",Matches. Miniature books--Specimens. Toy and movable books--Specimens.
MBE018,,SB451 .G21 1993,"Gardens, fairies and lore",Book,"Grace, Sandy.","Grace, Sandy. Grace, Tony. Adomeit, Ruth E., former owner.","[San Diego, Calif.] : Twin Heart Press.",1993,[28] p. : ill. ; 43 mm.,"Bound in quarter green leather and brocade cloth, spine lettered in gold; in a brocade box, with a pink cardboard divider which when lifted reveals a three-dimensional fairy scene.","Gardens--Quotations, maxims, etc. Miniature books--Specimens. Toy and movable books--Specimens."
MBE019,,GV1548 .M2,Magic book,Book,,"Adomeit, Ruth E., former owner.",[U.S. : s.n.],ca. 1950,1 folded sheet : col. ill. ; 15 x 19 cm. folded to 67 x 55 mm.,"Transformation toy book, folded into 9 panels, with 4 col. ill. which can be folded to variously appear through glass mounted in center panel.",Toy and movable books--Specimens. Magic tricks--Equipment and supplies--Specimens. Miniature books--Specimens.
MBE020,,N7433.4.S782 V15,Valentine book sculpture 1905,Book,"Stahlecker, Karen, 1954-","Adomeit, Ruth E., former owner.","[Fresno, Calif. : K. Stahlecker]",[1995],1 v. ([10] leaves) : ill. ; 66 x 69 mm.,"""Between covers of kozo lace paper, laminated to a flax and linen base sheet, rests a playful, accordion-folded text. This 'pulp painting' (pigmented pulps manipulated during formation of the paper) incorporates bright colors and a heart motif across the ten pages. Gampi and kozo fibers, both natural and with artists' pigments, were used to create this one-of-a-kind art work.""--Slipcase; ""This piece can be displayed by opening covers to a distance of 14"" to 18"" and standing the form up on a flat surface. It is, in fact, a tiny paper screen disguised as a book. Depending on the light source, it will reflect and transmit available light.""--Slipcase.",Valentine's Day. Miniature books--Specimens.
MBE021,,N7433.4.M62 D77,The dream which lies in my heart,Manuscript,"Morimoto, Hoko.","Miniature Book Society, former owner. InU",Tokyo : Le Bois de Livre,2016,[14] p. ; 55 x 60 mm in case 62 x 75 mm,"""The book contains an original poem about a dream, and elements related to the dream are placed in the box.""--2016 Miniature Book Competition Catalog.",Artists' books--Specimens. Miniature books--Specimens.
MBE022,,PS2618 .P89 2011,The Premature burial,Book,"Poe, Edgar Allan, 1809-1849.",Miniature Book Society InU,Loket [Czechoslovakia] : Jan & Jarmila Sobota,2011,"[2], 97, [3] p. ; 46 mm. (in box 73 mm.)","Bound in black leather. Enclosure is a wooden box in the shape of a coffin, which also contains a small figurine of a man's upper torso and head. In black bag with pull-string.",Miniature books--Specimens. Artists' books--Specimens.
MBE023,,Z1033.M6 M681 no.117,"Intersection : books as painting, paintings as books",Book,"Leslie, Ken.",Miniature Book Society.,"Hardwick, VT : [Charuby Press]",1995,1 v. (unpaged) : chiefly ill. ; 80 mm.,"When fully opened (44 x 29 cm.), book forms a rectangle (with opening in the center); in black printed paper open case.",Artists' books--Specimens. Miniature books--Specimens.
MBE024,,N7433.4.B342 F78 1995,Fruity jubilee : a scratch 'n' sniff pocket book,Book,"Baldwin, Pat.",,"Bisbee, Ariz. : Pequeño Press",1995,1 v. (unpaged) : col. ill. ; 70 mm.,"Bound in cloth boards with accordion style fold out leaf; ten removable recipes each with its own scratch and sniff odoriferous illustrations, pop-up fruit bowl on title page; the accompanying red metallic bag is lacking.","Baldwin, Pat. Artists' books--Specimens. Miniature books--Specimens."
MBE025,,N7433.4.H9 W76,Windows,Book,"Hutchins, Edward H.","Adomeit, Ruth E., former owner. ","[Cairo, N.Y.] : Editions",1994,2 v. : col. ill. ; 54 x 77 mm.,"Two miniature peepshows, 1 depicting a view in a window, one out a window with text on back covers; photocopied on Strathmore bond, hand colored, cut and assembled from a single sheet of paper; in printed paper slipcase.",Artists' books--Specimens. Miniature books--Specimens.
MBE026,,NA5620.S9 V18 1985,Vatican peep,Book,,"Adomeit, Ruth E., former owner. ","Sudbury, Mass. : Kurbel Books",1985,1 v. : chiefly ill. ; 65 mm.,"Published with pages configured as a double accordion fold closed at both ends, with two interior cross-pages and the first page designed as a set of double doors to be open, allowing the reader to peep through a window, through hedges, over landscape, to see the dome of St. Peter's cathedral; this peep show is intended to emulate the view of the Aventine Hill, through the keyhole of the doorway to the garden of the Priory of the Knights of Malta, in Rome.",Basilica di San Pietro in Vaticano. Artists' books--Specimens. Miniature books--Specimens. Rome (Italy) Vatican City.
MBE027,,Z1033.T68 V36 1996,Tumbling blocks for Pris and Bruce,Book,"Van Vliet, Claire.","Holden, Audrey. Kaufman, Margaret. Praise basted in. ","Newark, Vt. : Janus Press",1996,[14] leaves ; 56 mm.,"Tumbling Blocks is a little cut alphabet created from the offcuts from Praise Basted In, the design of which, left a number of small folios of handmade papers. It spirals in several ways or stands in a circle. The cube box is folded with two papers that hold each other in place without needing glue; see Janus Press checklist 1990-, cited below.",Toy and movable books--Specimens. Miniature books--Specimens Artists' books--Specimens. Alphabet books.
